Last Name,Money Available,Username,ID,Password,TicketMiner Membership,Concerts Purchased,First Name
Casillas,4513.52,casillasanthony,52,Fun!23,true,0,Anthony
Casio Iracheta,4687.22,casio irachetabrian,53,Fun!23,false,0,Brian
Close,3349.43,closemichael,54,Fun!23,true,0,Michael
Dean,4170.81,deanridley,55,Fun!23,true,0,Ridley
Dominguez-Flores,3474.65,dominguez-floressam,56,Fun!23,false,0,Sam
Draduk,5943.89,draduktenzin,57,Fun!23,true,0,Tenzin
Duron,961.13,duronmaria,58,Fun!23,false,0,Maria
Enriquez,4215.93,enriquezmatthieu,59,Fun!23,true,0,Matthieu
Esquivel,924,esquivellucas,60,Fun!23,false,0,Lucas
Fang,5891.69,fangevelyn,61,Fun!23,false,0,Evelyn
Fernandez,3592.46,fernandezemily,62,Fun!23,false,0,Emily
Fernandez,1478.49,fernandezeugenio,63,Fun!23,true,0,Eugenio
Flores De La O,3884.18,flores de la ojavier,64,Fun!23,false,0,Javier
Galarza,3072.98,galarzaabigail,65,Fun!23,true,0,Abigail
Garcia,3597,garciafrancisco,66,Fun!23,true,0,Francisco
Garcia Camarena,5372.59,garcia camarenaoliver,67,Fun!23,true,0,Oliver
Gomez,1376.56,gomezjonathan,68,Fun!23,true,0,Jonathan
Gonzalez,4904.21,gonzalezmaurizio,69,Fun!23,false,0,Maurizio
Huerta,2408.23,huertaemiliano,70,Fun!23,true,0,Emiliano
Hyder,2985.13,hyderanisa,71,Fun!23,true,0,Anisa
Johnson,2492.8,johnsonisaiah,72,Fun!23,false,0,Isaiah
Levario Alvarez,2525.7,levario alvarezarmando,73,Fun!23,false,0,Armando
Macias,4219.42,maciasmiranda,74,Fun!23,false,0,Miranda
Marin,1265.4,marincarlos,75,Fun!23,false,0,Carlos
Marquez,5393.09,marquezalex,76,Fun!23,false,0,Alex
Marquez,2573.04,marquezsebastian,77,Fun!23,true,0,Sebastian
Martin,4450.42,martincia,78,Fun!23,false,0,Cia
Martinez,5834.82,martinezpatty,79,Fun!23,false,0,Patty
Melendez Cepeda,989.62,melendez cepedathiaxi,80,Fun!23,false,0,Thiaxi
Molina-Najera,2589.66,molina-najeradaniela,81,Fun!23,true,0,Daniela
Montellano Pinon,4691.67,montellano pinondaniel,82,Fun!23,true,0,Daniel
Morales,4604.79,moralesdaniel,83,Fun!23,true,0,Daniel
Munoz,5849.13,munozjesus,84,Fun!23,false,0,Jesus
Ng,1257.55,nghenry,85,Fun!23,false,0,Henry
Nino Morales,3955.61,nino moralesisai,86,Fun!23,true,0,Isai
Ortiz,3227.74,ortizjason,87,Fun!23,true,0,Jason
Ortiz Zarate,5632.48,ortiz zaratejose,88,Fun!23,true,0,Jose
Pandey,860.76,pandeyaadvika,89,Fun!23,true,0,Aadvika
Pena,1961.08,penafrida,90,Fun!23,false,0,Frida
Pena Ramos,5293.81,pena ramoselian,91,Fun!23,true,0,Elian
Perez Quinones,1301.96,perez quinoneseloy,92,Fun!23,true,0,Eloy
Quinones,5058.43,quinonesisabel,93,Fun!23,false,0,Isabel
Ramirez-Salinas,4700.87,ramirez-salinasalexa,94,Fun!23,false,0,Alexa
Rappa,2259.81,rappacarlos,95,Fun!23,false,0,Carlos
Renteria,3729.91,renteriamiguel,96,Fun!23,true,0,Miguel
Reyes,3700.32,reyesjuan,97,Fun!23,true,0,Juan
Rios-Lozano,4093.6,rios-lozanomartha,98,Fun!23,false,0,Martha
Romero,3245,romeroraphael,99,Fun!23,false,0,Raphael
Ronquillo,5155.97,ronquillojonus,100,Fun!23,true,0,Jonus
Rosas,2701.52,rosasmalachi,101,Fun!23,false,0,Malachi
Ruvalcaba,3715.44,ruvalcabajairo,102,Fun!23,true,0,Jairo
Salazar,5547.06,salazarares,103,Fun!23,false,0,Ares
Sanchez,1374.36,sanchezdiego,104,Fun!23,false,0,Diego
Sifuentes,5072.5,sifuentesadrian,105,Fun!23,false,0,Adrian
Solano,1128.42,solanoalejandro,106,Fun!23,true,0,Alejandro
Sosa,5609.48,sosasabina,107,Fun!23,false,0,Sabina
Tarango,3357.38,tarangoalondra,108,Fun!23,true,0,Alondra
Tovar,5390.18,tovargabriel,109,Fun!23,true,0,Gabriel
Ucol,825.05,ucolbrenden,110,Fun!23,true,0,Brenden
Vargas,4502.07,vargasfernando,111,Fun!23,false,0,Fernando
Villamil Cabrera,4068.68,villamil cabreraalan,112,Fun!23,true,0,Alan
Zamorano,3546.86,zamoranoadan,113,Fun!23,true,0,Adan
Zepeda-Rodriguez,2172.72,zepeda-rodriguezluis,114,Fun!23,true,0,Luis
Rock,1204.15,rockkid,115,Fun!23,true,0,Kid
Cuddi,3850.41,cuddikid,116,Fun!23,false,0,Kid
Lopez,999.93,lopezvictoria,117,Fun!23,false,0,Victoria
Durulo,3224.36,durulojason,118,Fun!23,false,0,Jason
Perez,1318.95,perezchristina,119,Fun!23,false,0,Christina
Flores,4648.03,floresarturo,120,Fun!23,true,0,Arturo
Rojero,1583.17,rojeroemilio,121,Fun!23,false,0,Emilio
Mejia,1862.3,mejiadaniel,122,Fun!23,true,0,Daniel
Loya,3932.97,loyadenisse,123,Fun!23,false,0,Denisse
Ortiz,5871.13,ortizfatima,124,Fun!23,false,0,Fatima
Escobar,5869.5,escobarpablo,125,Fun!23,false,0,Pablo
Vergara,3511.08,vergarasofia,126,Fun!23,true,0,Sofia
Lopez,2740.75,lopezgeorge,127,Fun!23,true,0,George
Holland,1160.4,hollandtom,128,Fun!23,false,0,Tom
Wang,1758.43,wangvera,129,Fun!23,false,0,Vera
Gonzalez,4051.91,gonzalezalondra,130,Fun!23,true,0,Alondra
Gaytan,4554.93,gaytanisabela,131,Fun!23,false,0,Isabela
Fernadez,3438.76,fernadezestefania,132,Fun!23,true,0,Estefania
Villa,3239.42,villaandrea,133,Fun!23,false,0,Andrea
Mariscal,3522.35,mariscalalondra,134,Fun!23,true,0,Alondra
Apodaca,1174.49,apodacaximena,135,Fun!23,true,0,Ximena
Rodriguez,5805.08,rodriguezjulieta,136,Fun!23,true,0,Julieta
Reyes,4988.85,reyesdaniel,137,Fun!23,false,0,Daniel
Zhu,5917.24,zhucindy,138,Fun!23,true,0,Cindy
Mayers,4112.52,mayersjake,139,Fun!23,true,0,Jake
Beltran,1701.02,beltranurvi,140,Fun!23,false,0,Urvi
Garcia,2587.55,garciaemiliano,141,Fun!23,true,0,Emiliano
Guzman,1441.7,guzmanfernando,142,Fun!23,true,0,Fernando
Armado,1160.95,armadoluis,143,Fun!23,false,0,Luis
Learning,3769.57,learningdeep,144,Fun!23,false,0,Deep
Learning,4171.15,learningmachine,145,Fun!23,true,0,Machine
Last,1621.38,lastfirst,146,Fun!23,false,0,First
Name,1334.53,namerandom,147,Fun!23,true,0,Random
Whittman,4627.2,whittmanavery,148,Fun!23,true,0,Avery
Miguel,3213.48,miguelluis,149,Fun!23,false,0,Luis
Rodriguez,4983.81,rodriguezana,150,Fun!23,false,0,Ana
Fan,5009.56,fansports,151,Fun!23,true,0,Sports
Westbrook,3129.1,westbrookrussel,152,Fun!23,true,0,Russel
Prescot,2118.78,prescotdak,153,Fun!23,false,0,Dak
Harden,5294.3,hardenjames,154,Fun!23,true,0,James
James,1486.54,jameslebron,155,Fun!23,false,0,Lebron
Green,864.88,greendraymond,156,Fun!23,true,0,Draymond
Thompson,4904.39,thompsonklay,157,Fun!23,false,0,Klay
Curry,2245.73,currystephen,158,Fun!23,false,0,Stephen
Burton,4779.86,burtonkendra,159,Fun!23,false,0,Kendra
King,1055.59,kingburger,160,Fun!23,true,0,Burger
Bell,4878.08,belltaco,161,Fun!23,false,0,Taco
Bottle,3891.04,bottlewater,162,Fun!23,true,0,Water
